"ORDER_ID","ORDER_DATE","MONTH_NAME","QUARTER_NAME","SHIP_DATE","SHIP_MODE","CUSTOMER_ID","REGION","PRODUCT_ID","SALES","QUANTITY","DISCOUNT","PROFIT","CASE_ID"
"5466786","2024-02-05","Jan-24","Q12024","2024-02-05","First Class","703489035","East","11","495","9","0","19","56474874"
"5527840","2024-02-19","Mar-24","Q12024","2024-02-23","Standard Class","353902212","East","10","289","10","0","4","78523843"
"5625362","2024-02-13","Mar-24","Q12024","2024-02-15","First Class","211727608","West","6","448","5","0","8","61022821"
"5918225","2024-02-13","Mar-24","Q12024","2024-02-24","Standard Class","841598811","Central","18","378","6","0","12","76658852"
"6084273","2024-03-09","Mar-24","Q12024","2024-03-12","Standard Class","860493253","East","19","216","10","0","-30","46587043"
"6215312","2024-03-14","Mar-24","Q12024","2024-03-14","First Class","197506034","West","4","203","10","0","7","60652725"
"6945987","2024-02-15","Mar-24","Q12024","2024-02-16","First Class","256547948","East","2","286","10","0","-2","69479886"
"7031698","2024-03-12","Mar-24","Q12024","2024-03-16","Second Class","658554008","West","12","317","10","0","11","59181949"
"7115964","2024-01-30","Jan-24","Q12024","2024-02-02","First Class","585502329","East","10","300","7","0","-44","78056392"
"7209445","2024-02-24","Jan-24","Q12024","2024-02-20","Standard Class","814658697","West","11","68","4","0","19","62606900"
"7460417","2024-02-15","Mar-24","Q12024","2024-02-21","First Class","462350842","West","10","230","6","0","15","70023771"
"7569256","2024-02-05","Jan-24","Q12024","2024-02-13","First Class","571893173","Central","16","130","10","0","-28","74224153"
"7801222","2024-02-26","Mar-24","Q12024","2024-03-03","Second Class","310399843","Central","14","318","7","0","-39","65266754"
"8093369","2024-02-10","Mar-24","Q12024","2024-02-15","Standard Class","216832730","Central","18","289","5","0","10","86900951"
"8438222","2024-02-22","Jan-24","Q12024","2024-02-24","First Class","864611012","East","10","446","8","0","-2","59808690"
"8460954","2024-02-20","Jan-24","Q12024","2024-02-26","First Class","314906420","West","14","379","10","0","-1","71983797"
"8465364","2024-02-27","Mar-24","Q12024","2024-03-06","Standard Class","694567609","West","16","116","8","0","11","59595463"
"8801981","2024-03-08","Mar-24","Q12024","2024-03-07","Second Class","289631966","West","6","254","10","0","-53","61114468"
"8902396","2024-02-09","Mar-24","Q12024","2024-02-10","First Class","612075935","West","8","114","5","0","19","75990481"
"9085826","2024-02-07","Mar-24","Q12024","2024-02-12","First Class","799921966","West","8","359","7","0","19","86900951"
"9127799","2024-02-13","Mar-24","Q12024","2024-02-18","Second Class","675077140","Central","18","311","9","0","-21","54062032"
"9260966","2024-03-11","Jan-24","Q12024","2024-03-14","Second Class","425878809","West","6","269","10","0","19","71988540"
"9297806","2024-03-01","Mar-24","Q12024","2024-03-07","Second Class","262943069","West","5","255","7","0","6","68342078"
"9352775","2024-02-15","Mar-24","Q12024","2024-02-21","Second Class","872410015","West","18","44","6","0","-5","74895796"
"9796646","2024-03-14","Mar-24","Q12024","2024-03-19","First Class","41703430","West","9","290","10","0","-6","86086378"
"9970476","2024-03-09","Mar-24","Q12024","2024-03-14","Standard Class","256487425","West","18","189","7","0","19","61350003"
"9977452","2024-02-16","Mar-24","Q12024","2024-02-24","First Class","721358102","West","16","235","9","0","-21","65472121"
"10041068","2024-02-11","Jan-24","Q12024","2024-02-09","First Class","969540555","South","16","395","10","0","7","68472202"
"10234338","2024-03-03","Mar-24","Q12024","2024-03-06","First Class","560647852","West","4","297","9","0","15","65090817"
"10334691","2024-02-28","Mar-24","Q12024","2024-03-03","Second Class","952201866","West","11","391","6","0","7","60057462"
"10456590","2024-02-17","Mar-24","Q12024","2024-02-18","Second Class","695217575","Central","10","376","9","0","-16","62810615"
"11217710","2024-02-17","Jan-24","Q12024","2024-02-17","Second Class","766722455","West","12","76","6","0","-20","63020972"
"11257111","2024-03-10","Mar-24","Q12024","2024-03-12","First Class","75038461","West","1","120","4","0","19","82450079"
"11264505","2024-03-03","Mar-24","Q12024","2024-03-12","Second Class","632651192","Central","4","511","9","0","-43","39000643"
"11574488","2024-02-25","Jan-24","Q12024","2024-02-26","Standard Class","573045567","Central","14","445","8","0","9","75007480"
"11628875","2024-02-27","Mar-24","Q12024","2024-03-02","Second Class","263112112","West","8","469","10","0","-42","77306347"
"11773938","2024-02-13","Mar-24","Q12024","2024-02-15","Second Class","682747945","West","19","248","6","0","19","86900951"
"12371718","2024-03-07","Mar-24","Q12024","2024-03-12","Second Class","269907930","West","6","371","10","0","19","63289330"
"12398309","2024-03-06","Mar-24","Q12024","2024-03-17","First Class","444952703","West","4","205","10","0","19","81986002"
"12874377","2024-02-08","Jan-24","Q12024","2024-02-12","First Class","360119115","East","8","312","10","0","-55","67419079"
"12938493","2024-02-21","Mar-24","Q12024","2024-02-28","First Class","458865324","West","13","511","5","0","19","79955677"
"13026342","2024-02-27","Mar-24","Q12024","2024-03-08","Second Class","944542363","West","8","355","6","0","13","74180392"
"13776011","2024-02-15","Jan-24","Q12024","2024-02-20","First Class","261771363","East","2","201","8","0","-23","59591732"
"13991625","2024-03-13","Mar-24","Q12024","2024-03-12","Standard Class","525746100","West","10","140","10","0","19","63652667"
"13997672","2024-02-14","Mar-24","Q12024","2024-02-15","Standard Class","990761018","West","10","169","7","0","19","86900951"
"14299223","2024-02-17","Mar-24","Q12024","2024-02-26","Second Class","134265776","West","5","126","8","0","8","76040738"
"14565762","2024-03-07","Mar-24","Q12024","2024-03-14","Second Class","807484799","West","5","396","10","0","-3","77366027"
"14635411","2024-02-22","Mar-24","Q12024","2024-02-19","First Class","483946301","East","7","322","10","0","0","65732382"
"14826184","2024-02-11","Jan-24","Q12024","2024-02-21","Standard Class","891303580","West","19","140","4","0","-6","65358891"
"14883410","2024-01-31","Jan-24","Q12024","2024-02-11","First Class","302298483","West","11","248","5","0","-4","82139956"
"14937376","2024-03-14","Mar-24","Q12024","2024-03-13","Standard Class","400860201","West","18","417","10","0","19","86900951"
"14971579","2024-02-09","Jan-24","Q12024","2024-02-08","First Class","570998027","East","10","447","10","0","-31","65394388"
"15036688","2024-03-01","Mar-24","Q12024","2024-03-02","Standard Class","915805701","West","17","375","9","0","-44","74640069"
"15756609","2024-03-08","Mar-24","Q12024","2024-03-13","Standard Class","819021974","West","3","138","7","0","14","47536531"
"15904915","2024-03-17","Mar-24","Q12024","2024-03-19","Second Class","907792958","West","7","217","10","0","12","78517936"
"16013604","2024-02-17","Mar-24","Q12024","2024-02-27","First Class","564416315","West","9","469","5","0","19","61586537"
"16068430","2024-02-24","Mar-24","Q12024","2024-03-01","Second Class","360263417","West","3","264","5","0","19","86900951"
"16075061","2024-02-13","Jan-24","Q12024","2024-02-23","Second Class","747164679","South","19","191","9","0","-62","54968454"
"16129278","2024-02-16","Mar-24","Q12024","2024-02-19","First Class","271813049","West","18","184","10","0","-5","65224040"
"16152445","2024-02-11","Jan-24","Q12024","2024-02-15","Second Class","820620226","South","14","377","10","0","-47","74106694"
"16316450","2024-02-07","Mar-24","Q12024","2024-02-16","Standard Class","712448394","West","18","93","4","0","8","72111772"
"16373287","2024-02-05","Mar-24","Q12024","2024-02-14","Second Class","996578252","Central","12","340","8","0","-17","81264705"
"16401793","2024-02-13","Mar-24","Q12024","2024-02-16","Standard Class","853176583","East","14","287","5","0","5","68468621"
"16717778","2024-03-07","Mar-24","Q12024","2024-03-10","First Class","532773602","West","11","425","9","0","-4","70519365"
"17107857","2024-03-02","Mar-24","Q12024","2024-03-13","First Class","453405141","West","12","502","10","0","-19","74682042"
"17478864","2024-02-01","Jan-24","Q12024","2024-02-10","First Class","257784377","South","16","167","6","0","-22","64045547"
"17484522","2024-02-11","Mar-24","Q12024","2024-02-16","Second Class","11018633","West","15","441","5","0","13","86900951"
"17875319","2024-03-06","Jan-24","Q12024","2024-03-16","Standard Class","689704029","West","16","90","10","0","19","55730000"
"17885406","2024-03-04","Mar-24","Q12024","2024-03-10","Standard Class","734877529","South","10","384","10","0","4","75345536"
"18102839","2024-02-20","Mar-24","Q12024","2024-02-17","Second Class","422639257","West","13","292","7","0","6","83369364"
"18678961","2024-02-18","Jan-24","Q12024","2024-02-22","Second Class","540496771","Central","14","252","10","0","18","83419976"
"18679829","2024-02-29","Mar-24","Q12024","2024-03-10","First Class","967929089","West","1","375","8","0","19","61463831"
"19065429","2024-03-03","Mar-24","Q12024","2024-03-08","First Class","641174043","West","2","394","10","0","19","58898470"
"19216005","2024-02-16","Mar-24","Q12024","2024-02-21","Standard Class","98245633","East","17","328","9","0","-76","62714679"
"19267550","2024-02-29","Mar-24","Q12024","2024-03-07","Second Class","30272597","West","9","296","8","0","1","61866672"
"19817549","2024-02-17","Mar-24","Q12024","2024-02-24","Standard Class","707091790","West","11","110","7","0","-24","65741122"
"20045219","2024-02-18","Jan-24","Q12024","2024-02-19","Second Class","214468850","East","10","235","10","0","-40","62663788"
"20171034","2024-03-05","Mar-24","Q12024","2024-03-06","First Class","897760125","West","1","113","4","0","19","84267080"
"20290781","2024-02-17","Mar-24","Q12024","2024-02-19","Second Class","485036549","Central","16","60","5","0","19","58343067"
"20362071","2024-03-02","Mar-24","Q12024","2024-03-06","Second Class","638227106","West","4","482","4","0","19","77571083"
"20394936","2024-02-08","Mar-24","Q12024","2024-02-16","First Class","136442413","West","4","334","9","0","7","78331836"
"20552369","2024-03-17","Mar-24","Q12024","2024-03-20","First Class","170199565","West","1","139","6","0","19","54328044"
"20785890","2024-02-11","Mar-24","Q12024","2024-02-08","First Class","711132914","Central","15","432","10","0","-18","84617195"
"21291054","2024-03-17","Mar-24","Q12024","2024-03-21","Second Class","94888331","West","5","264","6","0","18","70682620"
"21528173","2024-02-09","Jan-24","Q12024","2024-02-16","First Class","946014870","East","12","436","10","0","-14","80320928"
"21570414","2024-02-23","Mar-24","Q12024","2024-03-01","First Class","887620184","South","11","460","9","0","19","61940927"
"22208038","2024-02-07","Jan-24","Q12024","2024-02-19","Second Class","820674322","East","12","449","8","0","-42","56750120"
"22447345","2024-02-05","Jan-24","Q12024","2024-02-14","First Class","75629170","Central","10","127","7","0","-34","46359660"
"22523772","2024-02-27","Mar-24","Q12024","2024-03-01","First Class","351304000","West","11","490","10","0","19","86900951"
"22757931","2024-03-13","Mar-24","Q12024","2024-03-18","Standard Class","646862106","West","15","152","7","0","19","56539536"
"23068908","2024-03-03","Jan-24","Q12024","2024-03-04","Standard Class","467348030","Central","16","224","10","0","-27","65719072"
"23210554","2024-03-07","Jan-24","Q12024","2024-03-10","Second Class","611036529","West","9","193","10","0","19","68014887"
"23433879","2024-02-08","Mar-24","Q12024","2024-02-20","First Class","233818008","West","8","130","7","0","-5","68475098"
"23748730","2024-02-19","Mar-24","Q12024","2024-03-02","First Class","958913188","West","17","332","10","0","-34","74691789"
"23750426","2024-02-10","Jan-24","Q12024","2024-02-11","First Class","191037607","East","8","185","9","0","-32","34625652"
"23884074","2024-02-29","Jan-24","Q12024","2024-03-06","Second Class","464179880","West","10","151","8","0","19","81358249"
"24851414","2024-02-28","Mar-24","Q12024","2024-02-29","First Class","662272874","West","5","69","8","0","19","71909165"
"25183608","2024-03-10","Mar-24","Q12024","2024-03-10","Second Class","559587054","West","6","204","7","0","0","75201058"
"25462230","2024-02-28","Jan-24","Q12024","2024-03-02","First Class","977846730","East","5","395","10","0","-31","61590967"
"25609257","2024-03-09","Mar-24","Q12024","2024-03-19","First Class","147431852","West","9","298","10","0","19","44067648"
"25659838","2024-02-28","Mar-24","Q12024","2024-02-27","Second Class","857239828","West","18","172","10","0","-10","85491100"
"25926717","2024-02-17","Mar-24","Q12024","2024-02-17","First Class","592294252","Central","5","350","7","0","-27","59472406"
"25956117","2024-01-25","Jan-24","Q12024","2024-02-02","Second Class","830707730","East","16","296","3","0","-22","53386106"
"26420906","2024-02-21","Mar-24","Q12024","2024-03-03","Second Class","135678839","Central","7","435","8","0","-4","51915107"
"26503637","2024-03-17","Mar-24","Q12024","2024-03-17","Second Class","956936230","West","16","294","8","0","19","58556872"
"26671680","2024-02-04","Jan-24","Q12024","2024-02-09","Second Class","273797572","East","16","326","10","0","-40","69289024"
"26694387","2024-03-02","Jan-24","Q12024","2024-03-04","Standard Class","95201500","Central","17","511","10","0","19","75175779"
"26896537","2024-02-16","Mar-24","Q12024","2024-02-21","Standard Class","954173981","West","18","44","5","0","19","49210694"
"27160536","2024-03-13","Mar-24","Q12024","2024-03-14","Second Class","351527508","West","14","250","10","0","-39","80509950"
"27287093","2024-02-29","Mar-24","Q12024","2024-02-29","Standard Class","240264810","West","19","101","7","0","10","85511570"
"27326856","2024-03-03","Mar-24","Q12024","2024-03-07","Second Class","94828677","West","12","328","8","0","5","68401857"
"27829777","2024-02-10","Jan-24","Q12024","2024-02-14","First Class","19559506","South","3","149","8","0","-17","59732112"
"28031224","2024-03-08","Mar-24","Q12024","2024-03-16","Standard Class","609291870","East","18","432","10","0","-12","44980951"
"28050642","2024-03-09","Mar-24","Q12024","2024-03-15","Standard Class","985979284","West","16","421","10","0","-25","55047671"
"28145814","2024-02-29","Mar-24","Q12024","2024-02-26","First Class","19902344","East","3","86","9","0","18","47816314"
"28148761","2024-03-01","Mar-24","Q12024","2024-03-05","Standard Class","842052641","West","13","320","10","0","18","62173975"
"29115331","2024-02-24","Mar-24","Q12024","2024-03-04","Standard Class","292101418","West","17","353","4","0","19","76405408"
"29283916","2024-02-24","Mar-24","Q12024","2024-02-29","Second Class","88921878","West","16","390","7","0","-23","50400905"
"29395113","2024-03-17","Mar-24","Q12024","2024-03-21","Standard Class","510980718","Central","17","362","10","0","-5","55893536"
"29405983","2024-03-01","Mar-24","Q12024","2024-03-06","Second Class","623100572","West","8","426","8","0","19","59446261"
"29575719","2024-03-06","Mar-24","Q12024","2024-03-06","Standard Class","174969390","South","8","98","10","0","-18","55420133"
"29586199","2024-02-09","Mar-24","Q12024","2024-02-13","First Class","609508213","East","12","349","6","0","11","67491469"
"30116761","2024-02-20","Jan-24","Q12024","2024-02-22","Second Class","137220078","South","13","137","9","0","5","81529680"
"30230385","2024-02-25","Jan-24","Q12024","2024-03-02","First Class","408462767","East","12","211","10","0","-23","43351056"
"30566614","2024-02-29","Mar-24","Q12024","2024-03-09","First Class","771622677","West","14","468","10","0","18","83853134"
"31142840","2024-01-27","Jan-24","Q12024","2024-01-31","Standard Class","816722463","East","18","109","6","0","-3","70216731"
"31273623","2024-03-07","Mar-24","Q12024","2024-03-13","Second Class","627401442","West","5","98","10","0","19","57996559"
"31284208","2024-02-17","Jan-24","Q12024","2024-02-21","Second Class","879073654","West","8","106","6","0","19","86900951"
"31339383","2024-01-30","Jan-24","Q12024","2024-02-10","First Class","285687278","Central","15","315","9","0","16","75220362"
"31633780","2024-03-05","Mar-24","Q12024","2024-03-10","First Class","173085842","West","8","212","9","0","-8","65560992"
"31982542","2024-03-01","Jan-24","Q12024","2024-03-04","Second Class","451723395","West","7","215","7","0","19","77442991"
"32156276","2024-03-09","Mar-24","Q12024","2024-03-13","Standard Class","521007229","West","14","136","10","0","9","67622475"
"32219185","2024-02-08","Mar-24","Q12024","2024-02-11","Standard Class","534182127","West","12","217","5","0","-3","80697606"
"32544809","2024-02-27","Jan-24","Q12024","2024-02-28","Second Class","114318079","South","12","162","8","0","19","38313943"
"32698111","2024-02-09","Jan-24","Q12024","2024-02-20","Standard Class","213963303","East","17","393","9","0","11","62333549"
"32979335","2024-02-28","Mar-24","Q12024","2024-03-03","Second Class","87300572","West","2","188","8","0","19","70947255"
"33031465","2024-03-01","Jan-24","Q12024","2024-03-10","First Class","673785486","West","4","205","10","0","19","86900951"
"33215815","2024-03-17","Mar-24","Q12024","2024-03-16","Second Class","592566120","West","12","511","10","0","10","79091124"
"33357274","2024-02-17","Mar-24","Q12024","2024-02-26","Standard Class","670601989","West","17","250","6","0","-48","51311528"
"33447688","2024-03-10","Mar-24","Q12024","2024-03-15","First Class","444857228","West","1","343","10","0","-1","76543644"
"33508495","2024-03-16","Mar-24","Q12024","2024-03-21","Standard Class","703883313","West","17","393","10","0","-1","86900951"
"33885376","2024-03-10","Mar-24","Q12024","2024-03-14","Standard Class","27365576","West","11","197","4","0","19","45311440"
"33942769","2024-03-10","Mar-24","Q12024","2024-03-14","Second Class","936672205","West","4","397","8","0","15","64151266"
"33950543","2024-03-06","Mar-24","Q12024","2024-03-09","First Class","992765022","West","12","332","10","0","-26","81971780"
"34048828","2024-02-24","Mar-24","Q12024","2024-03-06","Second Class","720419865","West","13","308","7","0","-20","85373242"
"34251227","2024-02-27","Mar-24","Q12024","2024-03-05","Second Class","549045475","West","8","320","7","0","-1","86073104"
"34500820","2024-02-13","Jan-24","Q12024","2024-02-18","Second Class","264523293","Central","5","383","10","0","-33","61757748"
"34653549","2024-02-07","Mar-24","Q12024","2024-02-13","Standard Class","22541591","West","18","171","7","0","0","67162513"
"34725864","2024-02-28","Mar-24","Q12024","2024-03-09","Second Class","607887707","West","3","141","8","0","18","68587736"
"34749183","2024-03-05","Jan-24","Q12024","2024-03-11","Second Class","199856627","West","9","290","7","0","-10","37531405"
"35060012","2024-03-05","Mar-24","Q12024","2024-03-16","Standard Class","243123023","East","19","482","10","0","18","52916338"
"35354898","2024-03-09","Jan-24","Q12024","2024-03-14","Standard Class","652835683","South","3","173","4","0","-27","41316441"
"36192117","2024-02-26","Jan-24","Q12024","2024-03-01","Second Class","980256479","East","10","117","10","0","19","82892504"
"36256404","2024-03-17","Mar-24","Q12024","2024-03-21","Standard Class","404775126","West","5","373","10","0","19","69786515"
"36631778","2024-02-28","Mar-24","Q12024","2024-03-05","Second Class","550790335","West","15","250","10","0","-32","77690708"
"36704706","2024-02-27","Mar-24","Q12024","2024-02-29","First Class","157005674","West","7","137","5","0","19","46511555"
"36825857","2024-02-27","Mar-24","Q12024","2024-03-06","Second Class","926968619","Central","18","276","8","0","11","60161715"
"36838121","2024-03-06","Mar-24","Q12024","2024-03-12","Standard Class","774345484","West","2","10","7","0","19","57178145"
"36846430","2024-02-11","Mar-24","Q12024","2024-02-22","First Class","982999118","West","3","395","10","0","-12","86900951"
"36929317","2024-03-12","Mar-24","Q12024","2024-03-16","Standard Class","908427350","West","2","452","9","0","19","70837228"
"36946299","2024-02-11","Jan-24","Q12024","2024-02-19","Second Class","909052753","East","14","439","9","0","-54","55318501"
"37150320","2024-02-20","Mar-24","Q12024","2024-02-26","First Class","754854961","Central","2","501","10","0","-20","71528567"
"37176816","2024-03-03","Mar-24","Q12024","2024-03-07","Standard Class","790398334","West","7","333","9","0","-6","86900951"
"37417861","2024-02-29","Mar-24","Q12024","2024-03-06","First Class","574770744","South","6","466","10","0","-46","59449282"
"37467493","2024-02-12","Jan-24","Q12024","2024-02-14","Standard Class","727679304","West","12","285","6","0","17","86900951"
"37563416","2024-02-04","Mar-24","Q12024","2024-02-09","Second Class","826236013","West","9","61","4","0","3","74499912"
"37826159","2024-02-14","Jan-24","Q12024","2024-02-15","Second Class","282518160","South","4","449","9","0","-25","63399396"
"37840834","2024-02-12","Mar-24","Q12024","2024-02-18","First Class","344571895","West","5","413","9","0","-36","86900951"
"38448229","2024-02-08","Mar-24","Q12024","2024-02-11","Standard Class","181885437","West","18","69","6","0","19","77161519"
"39071735","2024-02-16","Mar-24","Q12024","2024-02-26","First Class","512913170","West","5","417","9","0","1","86900951"
"39078133","2024-03-14","Mar-24","Q12024","2024-03-21","Standard Class","144001534","West","12","203","10","0","-15","86900951"
"39286951","2024-02-27","Mar-24","Q12024","2024-03-06","Standard Class","414207118","East","16","471","10","0","-58","45628088"
"39418676","2024-02-11","Mar-24","Q12024","2024-02-13","First Class","213155386","West","13","427","9","0","-30","60837891"
"39420914","2024-02-07","Jan-24","Q12024","2024-02-08","Second Class","165043141","East","16","185","7","0","19","77130576"
"40061205","2024-02-25","Mar-24","Q12024","2024-02-29","Standard Class","128369186","West","13","263","8","0","8","62038652"
"40163695","2024-03-11","Mar-24","Q12024","2024-03-16","Standard Class","699953132","West","10","434","8","0","-24","63894311"
"40233869","2024-03-06","Mar-24","Q12024","2024-03-10","Second Class","67682692","West","7","443","7","0","-14","77855528"
"40455343","2024-03-17","Mar-24","Q12024","2024-03-21","Second Class","932390629","West","3","112","8","0","19","66617698"
"40766564","2024-02-13","Mar-24","Q12024","2024-02-17","Second Class","519432341","South","11","430","7","0","19","61123821"
"40862450","2024-02-18","Mar-24","Q12024","2024-02-24","Second Class","949708838","West","14","47","7","0","15","81948890"
"40882645","2024-03-14","Jan-24","Q12024","2024-03-20","First Class","418632925","Central","1","249","8","0","19","52008784"
"41151506","2024-02-14","Jan-24","Q12024","2024-02-16","Standard Class","891303580","West","19","96","3","0","6","73023396"
"41455795","2024-02-17","Mar-24","Q12024","2024-02-26","First Class","426941657","West","4","148","7","0","19","52536172"
"41486571","2024-02-12","Jan-24","Q12024","2024-02-20","Second Class","89785363","South","5","254","10","0","-5","75338393"
"41762707","2024-03-17","Mar-24","Q12024","2024-03-21","Standard Class","313667315","West","14","442","10","0","19","82806844"
"41907650","2024-02-01","Jan-24","Q12024","2024-02-04","Second Class","862754750","West","11","285","6","0","-52","86900951"
"42281735","2024-03-07","Mar-24","Q12024","2024-03-14","Second Class","831757631","West","12","322","9","0","-7","63784368"
"42287460","2024-03-06","Mar-24","Q12024","2024-03-12","Standard Class","634944361","West","14","467","8","0","-24","86900951"
"42394406","2024-03-02","Mar-24","Q12024","2024-03-08","Standard Class","268628633","West","8","161","6","0","19","79892902"
"42569692","2024-02-23","Mar-24","Q12024","2024-02-28","Second Class","423153982","West","14","123","9","0","19","65126780"
"42885767","2024-02-20","Mar-24","Q12024","2024-03-02","First Class","491754464","West","11","245","4","0","18","69047108"
"42928863","2024-02-08","Jan-24","Q12024","2024-02-16","Standard Class","995491440","South","10","461","5","0","6","67405583"
"43167129","2024-02-24","Mar-24","Q12024","2024-03-02","Second Class","487649239","West","8","397","5","0","11","70938088"
"43539720","2024-02-22","Jan-24","Q12024","2024-02-25","Second Class","374989559","West","18","220","10","0","5","63980870"
"43670580","2024-02-18","Mar-24","Q12024","2024-02-17","Second Class","9649694","East","17","264","7","0","-16","52047632"
"43802893","2024-02-12","Mar-24","Q12024","2024-02-24","Standard Class","805363722","West","16","282","4","0","19","86900951"
"44229275","2024-02-04","Jan-24","Q12024","2024-02-06","First Class","405519815","East","16","138","8","0","-52","44345840"
"44584356","2024-02-25","Mar-24","Q12024","2024-02-28","Standard Class","292350728","West","18","168","7","0","7","64161539"
"44750594","2024-03-13","Mar-24","Q12024","2024-03-18","Standard Class","708370454","West","10","58","6","0","19","71671839"
"44783279","2024-02-25","Mar-24","Q12024","2024-02-28","Second Class","817357591","Central","10","474","6","0","-35","72350265"
"44904270","2024-03-02","Mar-24","Q12024","2024-03-06","Standard Class","63843514","West","8","173","7","0","-18","54735584"
"45388573","2024-02-25","Mar-24","Q12024","2024-02-29","First Class","504280827","West","7","187","9","0","-50","59316981"
"45909078","2024-03-02","Jan-24","Q12024","2024-03-10","Standard Class","966954038","East","13","249","10","0","-13","65304205"
"46012782","2024-03-07","Mar-24","Q12024","2024-03-14","Second Class","684954668","West","15","511","10","0","-46","71922562"
"46121889","2024-01-28","Mar-24","Q12024","2024-02-07","First Class","356798127","East","19","509","9","0","-73","59701807"
"46292933","2024-02-20","Mar-24","Q12024","2024-02-25","Standard Class","87278009","West","16","87","4","0","18","67790010"
"46345320","2024-03-06","Mar-24","Q12024","2024-03-14","Standard Class","671053905","West","11","374","9","0","2","66899414"
"46417434","2024-03-17","Mar-24","Q12024","2024-03-21","Standard Class","715596070","West","5","109","10","0","19","62520638"
"46491426","2024-02-22","Jan-24","Q12024","2024-02-24","Standard Class","793941679","West","12","263","6","0","-13","66411295"
"46668650","2024-02-24","Jan-24","Q12024","2024-03-05","Second Class","880064749","West","2","191","5","0","19","72349759"
"46675681","2024-02-09","Mar-24","Q12024","2024-02-14","Standard Class","232272338","Central","14","359","7","0","-2","86900951"
"46696117","2024-02-24","Mar-24","Q12024","2024-03-03","Second Class","80189423","West","5","456","10","0","-47","86900951"
"46784401","2024-02-13","Jan-24","Q12024","2024-02-22","Second Class","564524776","South","12","59","9","0","13","41092578"
"46834562","2024-02-23","Jan-24","Q12024","2024-02-28","Standard Class","822623262","West","11","45","7","0","9","56687074"
"46974992","2024-03-03","Mar-24","Q12024","2024-03-08","Standard Class","199633688","West","19","245","5","0","16","82725377"
"47237265","2024-03-05","Mar-24","Q12024","2024-03-09","Second Class","930499254","West","8","460","10","0","-42","86900951"
"47361525","2024-03-13","Mar-24","Q12024","2024-03-10","Second Class","460619450","West","13","365","10","0","-50","57673558"
"47534444","2024-02-16","Jan-24","Q12024","2024-02-20","Second Class","355991093","West","7","109","4","0","16","86900951"
"47677696","2024-03-09","Mar-24","Q12024","2024-03-10","First Class","246509468","West","4","84","7","0","19","44979587"
"48128368","2024-03-09","Mar-24","Q12024","2024-03-12","Second Class","518289732","West","11","280","8","0","-46","40980790"
"48559693","2024-02-26","Mar-24","Q12024","2024-03-08","Standard Class","268105012","West","17","225","5","0","9","55443365"
"48800737","2024-02-16","Mar-24","Q12024","2024-02-22","Second Class","113510635","West","12","223","8","0","-8","60005704"
"49317734","2024-02-20","Jan-24","Q12024","2024-02-21","Second Class","531409022","West","6","50","6","0","11","86900951"
